user_id;age
2;18.0
4;17.0
6;61.0
10;26.0
11;14.0
13;26.0
18;25.0
19;14.0
20;19.0
21;46.0
24;19.0
25;55.0
27;32.0
28;24.0
29;19.0
30;24.0
31;20.0
33;34.0
35;17.0
36;24.0
37;23.0
38;34.0
40;32.0
41;14.0
42;17.0
44;51.0
46;31.0
47;21.0
50;17.0
51;34.0
54;44.0
56;24.0
59;23.0
61;30.0
63;57.0
64;32.0
66;30.0
67;43.0
70;44.0
71;24.0
72;34.0
74;30.0
75;37.0
78;18.0
79;20.0
85;41.0
89;54.0
90;42.0
92;20.0
93;50.0
94;39.0
98;19.0
99;42.0
100;44.0
101;26.0
103;53.0
104;47.0
105;36.0
109;20.0
111;25.0
112;32.0
114;57.0
117;57.0
118;28.0
119;35.0
120;13.0
123;24.0
124;58.0
125;49.0
126;24.0
127;28.0
129;47.0
132;38.0
133;45.0
138;28.0
139;35.0
140;24.0
143;26.0
144;62.0
148;63.0
150;25.0
152;26.0
153;24.0
156;20.0
157;36.0
158;38.0
160;20.0
161;27.0
164;33.0
165;62.0
166;20.0
168;44.0
171;29.0
172;66.0
174;31.0
176;34.0
177;46.0
178;28.0
182;36.0
183;27.0
185;17.0
187;29.0
188;17.0
189;31.0
190;33.0
191;40.0
193;23.0
195;23.0
196;33.0
198;21.0
199;38.0
200;27.0
202;28.0
204;15.0
205;23.0
206;60.0
209;21.0
210;54.0
211;21.0
212;21.0
214;27.0
215;20.0
216;42.0
218;41.0
221;79.0
228;41.0
229;22.0
232;16.0
234;25.0
235;22.0
237;27.0
238;23.0
240;20.0
242;37.0
245;31.0
246;16.0
247;23.0
248;15.0
249;29.0
250;25.0
251;54.0
252;65.0
253;28.0
254;24.0
255;32.0
259;45.0
260;51.0
261;45.0
262;28.0
264;23.0
265;24.0
267;29.0
271;22.0
272;20.0
274;26.0
277;15.0
278;21.0
281;31.0
284;35.0
286;17.0
288;19.0
289;15.0
292;22.0
293;25.0
295;28.0
296;21.0
297;27.0
299;42.0
301;32.0
302;53.0
304;24.0
307;27.0
308;53.0
309;30.0
310;26.0
311;34.0
314;28.0
316;23.0
317;41.0
319;32.0
320;37.0
321;24.0
323;23.0
328;33.0
329;21.0
331;60.0
332;59.0
333;23.0
334;27.0
335;27.0
336;27.0
337;17.0
339;20.0
340;15.0
341;50.0
342;28.0
344;25.0
345;27.0
346;29.0
347;34.0
352;28.0
353;41.0
357;29.0
360;33.0
